temps (s),tension (V),courant (A)
0,4.2,0
0.2109375,4.05110007446486,4
0.6328125,4.04897883529833,4
1.4765625,4.0452460056788,4
3.1640625,4.03912632452573,4
6.5390625,4.02976978881168,4
13.2890625,4.01637589554732,4
26.7890625,3.9987588226181,4
53.7890625,3.9788678259594,4
80.7890625,3.9679403011481,4
107.7890625,3.96199373839145,4
134.7890625,3.95873179145755,4
161.7890625,3.95672906553499,4
188.7890625,3.95516833220111,4
215.7890625,3.95360649453252,4
242.7890625,3.95177966337045,4
269.7890625,3.94951500476905,4
296.7890625,3.94671028744966,4
323.7890625,3.94332963440773,4
350.7890625,3.93939111489934,4
377.7890625,3.93494827730401,4
404.7890625,3.93007351477285,4
431.7890625,3.92484627048807,4
458.7890625,3.91934555357559,4
485.7890625,3.91364548247341,4
512.7890625,3.90781282753931,4
539.7890625,3.90190586205226,4
566.7890625,3.89597406207319,4
593.7890625,3.89005834022688,4
620.7890625,3.88419159218633,4
647.7890625,3.87839939865672,4
674.7890625,3.87270077045272,4
701.7890625,3.86710885536343,4
728.7890625,3.86163154670854,4
755.7890625,3.85627194884318,4
782.7890625,3.85102867051158,4
809.7890625,3.84589594345866,4
836.7890625,3.84086361762081,4
863.7890625,3.83591718289748,4
890.7890625,3.83103810430331,4
917.7890625,3.82620484834578,4
944.7890625,3.82139483041753,4
971.7890625,3.81658697139299,4
998.7890625,3.81176388759711,4
1025.7890625,3.80691271246221,4
1052.7890625,3.80202446857639,4
1079.7890625,3.79709282508371,4
1106.7890625,3.79211298530346,4
1133.7890625,3.78708082839945,4
1160.7890625,3.78199223209004,4
1187.7890625,3.77684260938922,4
1214.7890625,3.77162662533047,4
1241.7890625,3.76633798750015,4
1268.7890625,3.76096928630303,4
1295.7890625,3.75551189218716,4
1322.7890625,3.74995589939704,4
1349.7890625,3.74429015709148,4
1376.7890625,3.73850249040552,4
1403.7890625,3.73258028928322,4
1430.7890625,3.72651177284939,4
1457.7890625,3.72028834237235,4
1484.7890625,3.71390833061709,4
1511.7890625,3.70738179460093,4
1538.7890625,3.70073458911582,4
1565.7890625,3.69400863986677,4
1592.7890625,3.68725615179211,4
1619.7890625,3.68052921335051,4
1646.7890625,3.67386979096605,4
1673.7890625,3.66730463958107,4
1700.7890625,3.66084597262637,4
1727.7890625,3.65449569036787,4
1754.7890625,3.64825041168139,4
1781.7890625,3.64210556370553,4
1808.7890625,3.63605794602927,4
1835.7890625,3.63010688874165,4
1862.7890625,3.62425438501833,4
1889.7890625,3.61850459436697,4
1916.7890625,3.61286303513119,4
1943.7890625,3.60733569173338,4
1970.7890625,3.60192818170624,4
1997.7890625,3.59664506569682,4
2024.7890625,3.59148933862801,4
2051.7890625,3.58646210891728,4
2078.7890625,3.58156245224984,4
2105.7890625,3.57678741456736,4
2132.7890625,3.57213213365598,4
2159.7890625,3.56759004814427,4
2186.7890625,3.56315316512623,4
2213.7890625,3.5588123614744,4
2240.7890625,3.55455769799872,4
2267.7890625,3.55037872917746,4
2294.7890625,3.54626479400339,4
2321.7890625,3.54220527580085,4
2348.7890625,3.5381898212288,4
2375.7890625,3.53420851162072,4
2402.7890625,3.53025198350491,4
2429.7890625,3.52631149925497,4
2456.7890625,3.52237897259698,4
2483.7890625,3.51844695636991,4
2510.7890625,3.51450860108429,4
2537.7890625,3.51055759256229,4
2564.7890625,3.50658807575438,4
2591.7890625,3.50259457026223,4
2618.7890625,3.49857188152886,4
2645.7890625,3.49451501026508,4
2672.7890625,3.49041906154513,4
2699.7890625,3.48627915418682,4
2726.7890625,3.48209033058072,4
2753.7890625,3.47784746707436,4
2780.7890625,3.47354518538675,4
2807.7890625,3.46917776642985,4
2834.7890625,3.46473906954926,4
2861.7890625,3.46022246285573,4
2888.7890625,3.45562077437117,4
2915.7890625,3.45092627956396,4
2942.7890625,3.44613074879292,4
2969.7890625,3.44122558803622,4
2996.7890625,3.43620211672456,4
3023.7890625,3.43105203406539,4
3050.7890625,3.42576812325496,4
3077.7890625,3.42034522131409,4
3104.7890625,3.4147814299044,4
3131.7890625,3.40907945467909,4
3158.7890625,3.40324785062905,4
3185.7890625,3.39730185806618,4
3212.7890625,3.39126349659485,4
3239.7890625,3.38516068754858,4
3266.7890625,3.37902538947596,4
3293.7890625,3.37289097988484,4
3320.7890625,3.36678929478826,4
3347.7890625,3.360747777591,4
3374.7890625,3.35478709701501,4
3401.7890625,3.34891943519256,4
3428.7890625,3.34314749824027,4
3455.7890625,3.33746421041849,4
3482.7890625,3.33185302343232,4
3509.7890625,3.3262887699313,4
3536.7890625,3.32073896109902,4
3563.7890625,3.31516533501872,4
3590.7890625,3.30952532505394,4
3617.7890625,3.30377301638367,4
3644.7890625,3.29785916782864,4
3671.7890625,3.29172997810387,4
3698.7890625,3.28532436808601,4
3725.7890625,3.27856954119154,4
3752.7890625,3.27137447646245,4
3779.7890625,3.26362095861384,4
3806.7890625,3.25515218953127,4
3833.7890625,3.24576094602762,4
3860.7890625,3.23518424240929,4
3887.7890625,3.22311968491899,4
3914.7890625,3.20928238596126,4
3941.7890625,3.19350245892178,4
3968.7890625,3.17582097833352,4
3995.7890625,3.15652263908064,4
4022.7890625,3.13607956374698,4
4049.7890625,3.11503167283879,4
4076.7890625,3.0938502998782,4
4103.7890625,3.07282775022353,4
4130.7890625,3.0520188670048,4
4157.7890625,3.03123663006075,4
4184.7890625,3.01008295370308,4
4211.7890625,2.98798876889102,4
4238.7890625,2.96424411902077,4
4265.7890625,2.93801056883851,4
4292.7890625,2.90831626955458,4
4319.7890625,2.87403609416731,4
4346.7890625,2.8338579669587,4
4373.7890625,2.78623515610109,4
4400.7890625,2.72932384531836,4
4427.7890625,2.66090484125291,4
4454.7890625,2.57828696466149,4
4481.7890625,2.47818739620395,4
4508.7890625,2.35658071289187,4
4535.7890625,2.20850153439634,4
4562.7890625,2.02776797212721,4
4589.7890625,2,2.81281011258627
4616.7890625,2,2.0743827091851
4643.7890625,2,1.6259296350671
4670.7890625,2,1.30666414757863
4697.7890625,2,1.0650242354449
4724.7890625,2,0.87625871254737
4751.7890625,2,0.72592569944999
4778.7890625,2,0.604602237990607
4805.7890625,2,0.505710498017625
4832.7890625,2,0.424463580657818
4859.7890625,2,0.357283402706093
4886.7890625,2,0.301444087692959
4913.7890625,2,0.254836475370368
4940.7890625,2,0.215805331216172
4967.7890625,2,0.183034195836705
4994.7890625,2,0.155463090307138
5021.7890625,2,0.132229305050281
5048.7890625,2,0.112624412058267
5075.7890625,2,0.0960625937124385
5102.7890625,2,0.0820568928771841
5129.7890625,2,0.0702009961871007
5156.7890625,2,0.0601549751302941
5183.7890625,2,0.0516339108180265
5210.7890625,2,0.0443986800508163
5237.7890625,2,0.0382484055370819
5264.7890625,2,0.033014218483859
5291.7890625,2,0.028554076242915
5318.7890625,2,0.0247484403979838
5345.7890625,2,0.0214966636808357
5372.7890625,2,0.018713964776032
5399.7890625,2,0.0163288928446323
5426.7890625,2,0.0142812011135713
5453.7890625,2,0.0125200627409433
