temps (s),tension (V),courant (A)
0,4.2,0
0.0703125,4.03599320718496,4.7870979134773
0.2109375,4.0129899143966,6
0.4921875,4.01081690608215,6
1.0546875,4.00686549988884,6
2.1796875,4.00013508691348,6
4.4296875,3.98951059569108,6
8.9296875,3.97402336694119,6
17.9296875,3.95360332266187,6
35.9296875,3.93117618682059,6
53.9296875,3.91956590192804,6
71.9296875,3.91331178820411,6
89.9296875,3.90929073314603,6
107.9296875,3.90598495417295,6
125.9296875,3.90269198848051,6
143.9296875,3.89902663657264,6
161.9296875,3.89477463704579,6
179.9296875,3.88986287133227,6
197.9296875,3.88432753936846,6
215.9296875,3.87826873996268,6
233.9296875,3.87181148809286,6
251.9296875,3.86508132275921,6
269.9296875,3.85819180313259,6
287.9296875,3.85123931544296,6
305.9296875,3.8443019048345,6
323.9296875,3.83744017458606,6
341.9296875,3.8306991343821,6
359.9296875,3.82411036172712,6
377.9296875,3.81769411627492,6
395.9296875,3.81146120446267,6
413.9296875,3.80541448054546,6
431.9296875,3.79954992166505,6
449.9296875,3.79385725852415,6
467.9296875,3.78832021934005,6
485.9296875,3.78291660724312,6
503.9296875,3.77761871436235,6
521.9296875,3.77239486427136,6
539.9296875,3.76721272165287,6
557.9296875,3.76204384716134,6
575.9296875,3.75686726008255,6
593.9296875,3.75166965643074,6
611.9296875,3.7464426030563,6
629.9296875,3.74117963543898,6
647.9296875,3.73587530921319,6
665.9296875,3.73052536886886,6
683.9296875,3.72512637809166,6
701.9296875,3.71967486161848,6
719.9296875,3.71416699785674,6
737.9296875,3.70859887059157,6
755.9296875,3.70296649992938,6
773.9296875,3.69726560298334,6
791.9296875,3.69149161159141,6
809.9296875,3.68563993139561,6
827.9296875,3.67970608980922,6
845.9296875,3.67368585258256,6
863.9296875,3.66757551599767,6
881.9296875,3.66137224215015,6
899.9296875,3.65507432039771,6
917.9296875,3.64868145901988,6
935.9296875,3.64219511875347,6
953.9296875,3.63561882035862,6
971.9296875,3.62895850903605,6
989.9296875,3.62222311417861,6
1007.9296875,3.61542539709504,6
1025.9296875,3.60858315341559,6
1043.9296875,3.60172060466947,6
1061.9296875,3.59486929614825,6
1079.9296875,3.58806740574465,6
1097.9296875,3.58135668858007,6
1115.9296875,3.57477755332838,6
1133.9296875,3.56836407425058,6
1151.9296875,3.56214079852238,6
1169.9296875,3.55612201456484,6
1187.9296875,3.55031290151673,6
1205.9296875,3.5447115246211,6
1223.9296875,3.53931086282365,6
1241.9296875,3.53410047298273,6
