tiempo [s],Voltaje [V],corriente [A]
0,4.2,0
0.046875,4.05073882002126,4.05892286851698
0.140625,3.96710994961687,9
0.328125,3.96485482975291,9
0.703125,3.96065215655635,9
1.453125,3.95326210783678,9
2.953125,3.94124289495941,9
5.953125,3.92342845690382,9
11.953125,3.90001289396654,9
23.953125,3.87498470757531,9
35.953125,3.86189720887255,9
47.953125,3.85317788388148,9
59.953125,3.84557078465524,9
71.953125,3.83796403144371,9
83.953125,3.829910645585,9
95.953125,3.82127558578094,9
107.953125,3.81213587077109,9
119.953125,3.80267689100937,9
131.953125,3.79310417426777,9
143.953125,3.78359567480371,9
155.953125,3.77428586305889,9
167.953125,3.7652661024461,9
179.953125,3.75659122169873,9
191.953125,3.74828732425688,9
203.953125,3.74035872608892,9
215.953125,3.73279325315666,9
227.953125,3.72556571511697,9
239.953125,3.71863968590561,9
251.953125,3.7119681442989,9
263.953125,3.70549438411027,9
275.953125,3.69915572312376,9
287.953125,3.69289220657822,9
299.953125,3.68665810201467,9
311.953125,3.68042795433453,9
323.953125,3.67419104823113,9
335.953125,3.66793950749518,9
347.953125,3.66166129783685,9
359.953125,3.65534264274541,9
371.953125,3.64897414097506,9
383.953125,3.6425523733408,9
395.953125,3.63607588282632,9
407.953125,3.62954153950644,9
419.953125,3.62294547321664,9
431.953125,3.61628597464031,9
443.953125,3.60956382254921,9
455.953125,3.6027801219331,9
467.953125,3.59593529966063,9
479.953125,3.58903055693214,9
491.953125,3.58206938990556,9
503.953125,3.57505732611042,9
515.953125,3.56800110168091,9
527.953125,3.56090907882386,9
539.953125,3.55379246208375,9
551.953125,3.54666564001379,9
563.953125,3.53954530834838,9
575.953125,3.53244955306047,9
587.953125,3.52539768685101,9
599.953125,3.51841028516762,9
611.953125,3.51150851264105,9
623.953125,3.50471271241095,9
635.953125,3.49804102723503,9
647.953125,3.49150862896004,9
659.953125,3.48512743290597,9
671.953125,3.47890588569963,9
683.953125,3.47284872369064,9
695.953125,3.46695695860447,9
707.953125,3.46122831712612,9
719.953125,3.45565808563214,9
731.953125,3.45024013878771,9
743.953125,3.44496790605065,9
755.953125,3.4398350001303,9
767.953125,3.43483522892657,9
779.953125,3.42996192108367,9
791.953125,3.42520688623388,9
803.953125,3.4205595886217,9
815.953125,3.41600699021214,9
827.953125,3.41153412599686,9
839.953125,3.40712512521423,9
851.953125,3.40276428224999,9
863.953125,3.39843688276565,9
875.953125,3.39412967350401,9
887.953125,3.38983101851869,9
899.953125,3.38553086152642,9
911.953125,3.38122061503744,9
923.953125,3.37689305111106,9
935.953125,3.3725422128287,9
947.953125,3.36816332856627,9
959.953125,3.36375270438455,9
971.953125,3.35930758680298,9
983.953125,3.3548260112986,9
995.953125,3.35030666384859,9
1007.953125,3.34574877666445,9
1019.953125,3.34115206085963,9
1031.953125,3.3365166615855,9
1043.953125,3.33184311640039,9
1055.953125,3.32713230680008,9
1067.953125,3.32238540729578,9
1079.953125,3.31760384435013,9
1091.953125,3.31278927302281,9
1103.953125,3.30794356681375,9
1115.953125,3.30306880676561,9
1127.953125,3.29816725742352,9
1139.953125,3.29324132805794,9
1151.953125,3.28829352763992,9
1163.953125,3.28332642196541,9
1175.953125,3.27834259089504,9
1187.953125,3.27334457271062,9
1199.953125,3.26833478232772,9
1211.953125,3.26331540272525,9
1223.953125,3.25828826466021,9
1235.953125,3.25325473468021,9
1247.953125,3.24821561993366,9
1259.953125,3.24317107846963,9
1271.953125,3.23812051147115,9
1283.953125,3.23306241961027,9
1295.953125,3.22799422551258,9
1307.953125,3.22291208307714,9
1319.953125,3.21781069889173,9
1331.953125,3.21268318146898,9
1343.953125,3.20752092402261,9
1355.953125,3.20231353067464,9
1367.953125,3.19704881671083,9
1379.953125,3.19171293791634,9
1391.953125,3.18629071364307,9
1403.953125,3.18076619114161,9
1415.953125,3.17512345275541,9
1427.953125,3.16934759646853,9
1439.953125,3.16342573463211,9
1451.953125,3.15734778371168,9
1463.953125,3.15110680623326,9
1475.953125,3.14469874921442,9
1487.953125,3.13812158412289,9
1499.953125,3.13137403343375,9
1511.953125,3.12445421746158,9
1523.953125,3.11735861512272,9
1535.953125,3.11008161041423,9
1547.953125,3.1026156236066,9
1559.953125,3.09495165898204,9
1571.953125,3.08708010372824,9
1583.953125,3.07899150724779,9
1595.953125,3.07067697511525,9
1607.953125,3.0621278941438,9
1619.953125,3.05333435414918,9
1631.953125,3.04428147465361,9
1643.953125,3.03494381109104,9
